E065,0.6824,0.5057,0.5061
E004,0.7570,0.6537,0.6539
E066,0.7472,0.6604,0.6606
E005,0.7495,0.6354,0.6358
E012,0.7090,0.4680,0.4686
E027,0.7488,0.6556,0.6559
E053,0.7231,0.5226,0.5231
E013,0.6878,0.4711,0.4714
E028,0.7569,0.6472,0.6474
E061,0.7615,0.6555,0.6557
E109,0.6550,0.3770,0.3774
E120,0.7672,0.6633,0.6636
E062,0.7652,0.6605,0.6607
E037,0.7673,0.6524,0.6526
E038,0.7892,0.6789,0.6792
E024,0.6964,0.4963,0.4967
E071,0.6642,0.3830,0.3835
E105,0.6964,0.5063,0.5066
E087,0.6637,0.3917,0.3921
E011,0.6660,0.3649,0.3654
E106,0.6664,0.4041,0.4045
E096,0.6616,0.3823,0.3828
E082,0.7135,0.5291,0.5294
E097,0.6877,0.4089,0.4094
E116,0.9279,0.9492,0.9492
E098,0.6528,0.3887,0.3892
E058,0.7742,0.6675,0.6677
E117,0.9252,0.9415,0.9416
E084,0.6203,0.2691,0.2697
E059,0.8984,0.9266,0.9266
E070,0.7105,0.5068,0.5072
E118,0.7791,0.6803,0.6804
E085,0.6559,0.3436,0.3442
E104,0.6906,0.4972,0.4975
E119,0.7732,0.6690,0.6692
E006,0.7432,0.6390,0.6394
E112,0.6407,0.2923,0.2929
E127,0.7665,0.6710,0.6712
E047,0.7676,0.6406,0.6408
E094,0.6915,0.4389,0.4395
E007,0.7033,0.4837,0.4840
E054,0.7156,0.5033,0.5036
E113,0.6705,0.3810,0.3816
E128,0.7741,0.6735,0.6738
E095,0.7585,0.6528,0.6531
E055,0.7519,0.6196,0.6199
E114,0.7779,0.6738,0.6740
E100,0.9076,0.9304,0.9304
E056,0.9051,0.9272,0.9272
E016,0.6934,0.4856,0.4860
E122,0.7761,0.6772,0.6776
E057,0.9063,0.9316,0.9316
E123,0.9418,0.9574,0.9574
E079,0.6622,0.3994,0.3998
E003,0.6665,0.4714,0.4719
E050,0.7157,0.4577,0.4582
