E065,0.6588,0.4784,0.4787
E004,0.7414,0.6368,0.6370
E066,0.7281,0.6372,0.6354
E005,0.7350,0.6152,0.6156
E012,0.6880,0.4355,0.4360
E027,0.7265,0.6334,0.6281
E053,0.7189,0.5096,0.5101
E013,0.6865,0.4553,0.4590
E028,0.7476,0.6209,0.6213
E061,0.7460,0.6411,0.6373
E109,0.6442,0.3720,0.3724
E120,0.7409,0.6327,0.6332
E062,0.7546,0.6366,0.6326
E037,0.7601,0.6369,0.6373
E038,0.7669,0.6311,0.6329
E024,0.6841,0.4652,0.4660
E071,0.6534,0.3701,0.3706
E105,0.6798,0.4842,0.4845
E087,0.6386,0.3531,0.3535
E011,0.6548,0.3484,0.3489
E106,0.6464,0.3815,0.3821
E096,0.6422,0.3532,0.3538
E082,0.6992,0.4911,0.4917
E097,0.6597,0.3708,0.3714
E116,0.9125,0.9397,0.9322
E098,0.6434,0.3742,0.3747
E058,0.7614,0.6399,0.6432
E117,0.9085,0.9257,0.9257
E084,0.6253,0.2711,0.2716
E059,0.8749,0.9091,0.9028
E070,0.6925,0.4785,0.4790
E118,0.7630,0.6358,0.6446
E085,0.6504,0.3362,0.3367
E104,0.6849,0.4755,0.4862
E119,0.7605,0.6558,0.6560
E006,0.7374,0.6316,0.6316
E112,0.6166,0.2664,0.2670
E127,0.7595,0.6433,0.6468
E047,0.5,0.7158,0.4317
E094,0.6457,0.3714,0.3718
E007,0.6910,0.4560,0.4564
E054,0.7051,0.4863,0.4867
E113,0.6428,0.3537,0.3542
E128,0.7583,0.6410,0.6458
E095,0.7443,0.6378,0.6387
E055,0.7433,0.6166,0.6142
E114,0.7592,0.6409,0.6415
E100,0.8574,0.8994,0.8827
E056,0.8833,0.9113,0.9054
E016,0.6933,0.4817,0.4819
E122,0.7625,0.6695,0.6656
E057,0.8707,0.9037,0.8988
E123,0.9233,0.9469,0.9407
E079,0.6538,0.3831,0.3837
E003,0.6813,0.4761,0.4766
E050,0.7081,0.4417,0.4416
